,log_score_0,distance_0,comp_0,log_score_1,distance_1,comp_1,log_score_2,distance_2,comp_2,log_score_3,distance_3,comp_3,log_score_4,distance_4,comp_4
0,-0.2178951156440112,7.31,0.0,-4.812488935063233,0.84,0.0,-1.1877890412836452,7.49,2.0,-4.895786580724056,0.54,0.0,-1.1664115962387291,7.47,1
1,-0.21789516749440707,7.36,0.0,-1.1727385670127262,7.49,2.0,-5.884720636115787,1.32,3.0,-4.895713244158538,0.73,2.0,-5.067047693719763,0.84,0
2,-0.21756944154121907,4.35,2.0,-6.180553348595334,1.32,3.0,-11.004861484111395,2.42,1.0,-1.1283404191655553,7.29,4.0,-1.1663229369600052,7.49,2
3,-2.6726771995219343,0.65,3.0,-11.148509982394675,2.42,1.0,-1.1910041504828566,7.11,2.0,-1.1270536599890317,6.86,0.0,-5.834100173830629,1.32,3
4,-3.6988519663948747,1.35,0.0,-1.1744359419337647,7.11,2.0,-1.1877890141521956,3.34,1.0,-4.890521397388626,0.53,1.0,-10.973762606176171,2.42,1
5,-0.2579738056795797,1.63,0.0,-1.172738544112494,3.34,1.0,-1.1877892509885146,7.27,3.0,-1.126457736874514,5.14,0.0,-1.1695114154990511,7.11,2
6,-0.21789511564401245,7.2,2.0,-1.1727386519457934,7.27,3.0,-1.1877890141515468,7.04,1.0,-1.136314590434679,0.84,4.0,-1.1663230062393901,3.34,1
7,-0.21789511564401245,1.06,1.0,-1.1727385441121598,7.04,1.0,-1.1877890141515184,7.31,0.0,-1.126339245306118,4.47,0.0,-1.1663231336743067,7.27,3
8,-1.8661276061260443,1.33,2.0,-1.1727385441121547,7.31,0.0,-1.1877892006409214,7.36,0.0,-5.370705900314208,2.72,0.0,-1.1663229102129433,7.04,1
9,-2.6725139374876377,0.54,0.0,-1.1727386026885573,7.36,0.0,-1.1898038985137847,4.35,2.0,-1.1262872139887987,7.31,1.0,-1.1663229102129256,7.31,0
10,-2.672681081064261,0.73,2.0,-1.1748998987301116,4.35,2.0,-5.183877469388111,0.65,3.0,-13.816650225523919,0.56,0.0,-1.16632300865015,7.36,0
11,-0.21790742212852826,7.29,4.0,-4.812490702576644,0.65,3.0,-5.884720636115788,1.35,0.0,-1.2434251659067315,1.05,3.0,-1.1669927228059591,4.35,2
12,-0.2178545699737771,6.86,0.0,-6.180553348595334,1.35,0.0,-1.4535591898914553,1.63,0.0,-1.126287215164005,7.21,0.0,-5.067049204459819,0.65,3
13,-2.6650287090251528,0.53,1.0,-1.4400398710621676,1.63,0.0,-1.187789017912755,7.2,2.0,-1.1269563567425605,7.52,1.0,-5.834100173830629,1.35,0
14,-0.21789354194878555,5.14,0.0,-1.172738546104674,7.2,2.0,-1.1877890141515468,1.06,1.0,-4.592443088969553,0.55,0.0,-1.4148789404409203,1.63,0
15,-0.21881720526564688,0.84,4.0,-1.1727385441121598,1.06,1.0,-2.045684123633272,1.33,2.0,-1.1262872139887987,3.9,4.0,-1.1663229139436417,7.2,2
16,-0.2178945631880187,4.47,0.0,-2.2026297881669494,1.33,2.0,-5.184036169675465,0.54,0.0,-1.8106914357117032,7.24,0.0,-1.1663229102129433,1.06,1
17,-5.587436147710595,2.72,0.0,-4.81256430816547,0.54,0.0,-5.183873675796345,0.73,2.0,-9.730480530121152,1.28,1.0,-2.0575458640326376,1.33,2
18,-0.21789511564401245,7.31,1.0,-4.8124889350594025,0.73,2.0,-1.1880933755235301,7.29,4.0,-1.1270264733222826,7.32,1.0,-5.067112606071671,0.54,0
19,-5.410228077914606,0.56,0.0,-1.1733674493656865,7.29,4.0,-1.1890271120331277,6.86,0.0,-1.591806293624264,1.41,0.0,-5.067047693716652,0.73,2
20,-0.2164482450703626,1.05,3.0,-1.1740000544395555,6.86,0.0,-5.163786072880836,0.53,1.0,-1.2129478298840228,6.17,2.0,-1.1664832776054765,7.29,4
21,-0.21789511632210254,7.21,0.0,-4.807949937237017,0.53,1.0,-1.1879693126736632,5.14,0.0,-1.1261368472406539,7.38,3.0,-1.1677813181085808,6.86,0
22,-0.2178838027082688,7.52,1.0,-1.1727626665012219,5.14,0.0,-1.1990163556041507,0.84,4.0,-1.134801603783635,5.37,2.0,-5.062470048999951,0.53,1
23,-2.2333075170613186,0.55,0.0,-1.1824388841690068,0.84,4.0,-1.1878442375401617,4.47,0.0,-1.1262872139887987,7.03,0.0,-1.1664447467468848,5.14,0
24,-0.21789511564401245,3.9,4.0,-1.172745621663569,4.47,0.0,-4.349566868212124,2.72,0.0,-2.3964891441061464,0.86,3.0,-1.1718086402167578,0.84,4
25,-0.22267782119920443,7.24,0.0,-4.723623042275316,2.72,0.0,-1.1877890141515468,7.31,1.0,-1.1262885225498818,1.07,1.0,-1.166360214056765,4.47,0
26,-4.859988907920385,1.28,1.0,-1.1727385441121598,7.31,1.0,-14.471623371454845,0.56,0.0,1.5338691159301663,2.12,2.0,-7.483296628272562,2.72,0
27,-0.21798363059610928,7.32,1.0,-15.153789033296206,0.56,0.0,-1.3154644246582237,1.05,3.0,-4.756935780928445,1.13,2.0,-1.1663229102129433,7.31,1
28,-1.505431866084106,1.41,0.0,-1.2962526171658626,1.05,3.0,-1.1877890158119893,7.21,0.0,-1.953841530069357,5.25,0.0,-14.329416149695321,0.56,0
29,-0.21661028657556103,6.17,2.0,-1.17273854545134,7.21,0.0,-1.1888001033025446,7.52,1.0,-1.126287287391397,7.02,2.0,-1.2932987595641154,1.05,3
30,-0.21780308470297163,7.38,3.0,-1.1734521425800417,7.52,1.0,-4.950659996441203,0.55,0.0,-4.889584069941306,0.34,1.0,-1.166322911593205,7.21,0
31,-0.2236590810219988,5.37,2.0,-4.553356749533204,0.55,0.0,-1.1877890141515468,3.9,4.0,-4.84337090921573,0.65,3.0,-1.167333500077629,7.52,1
32,-0.21789511564401245,7.03,0.0,-1.1727385441121598,3.9,4.0,-1.2043862378201873,7.24,0.0,-1.1269755330747382,7.3,0.0,-4.835264137205909,0.55,0
33,-0.2191096337242607,0.86,3.0,-1.3964541439285703,7.24,0.0,-9.827503288907275,1.28,1.0,-1.1262904384282213,7.21,1.0,-1.1663229102129433,3.9,4
34,-0.21789531117272798,1.07,1.0,-9.597850676017558,1.28,1.0,-1.1880997434355223,7.32,1.0,-1.1262872139889435,6.03,1.0,-1.1930798657482027,7.24,0
35,1.5772173092835353,2.12,2.0,-1.1729423704015807,7.32,1.0,-1.5216299979556607,1.41,0.0,-4.895713244162031,0.4,3.0,-9.700389353006468,1.28,1
36,-2.480114215524856,1.13,2.0,-1.4926973285477947,1.41,0.0,-1.290790315026986,6.17,2.0,-2.2428412293670674,7.11,2.0,-1.166397693918456,7.32,1
37,-0.24090028330698984,5.25,0.0,-1.238480676218386,6.17,2.0,-1.1874491532473932,7.38,3.0,-1.1262872139887987,7.44,0.0,-1.5579741073852393,1.41,0
38,-0.2178951140653568,7.02,2.0,-1.1726430558024599,7.38,3.0,-1.2088989115965412,5.37,2.0,-1.1344859220824752,7.18,2.0,-1.264612662390636,6.17,2
39,-2.6644986213328306,0.34,1.0,-1.17897206722032,5.37,2.0,-1.1877890141515468,7.03,0.0,-5.781227479148431,2.36,0.0,-1.1661292791251048,7.38,3
40,-2.5543428124740073,0.65,3.0,-1.1727385441121598,7.03,0.0,-2.334758493844163,0.86,3.0,2.5053298799794446,3.48,0.0,-1.178837469678588,5.37,2
41,-0.21784605380577043,7.3,0.0,-2.7277418130507587,0.86,3.0,-1.1877894729959126,1.07,1.0,-1.1277241104447528,3.76,0.0,-1.1663229102129433,7.03,0
42,-0.21789511562973848,7.21,1.0,-1.1727388406473684,1.07,1.0,0.6723559009465458,2.12,2.0,-1.2443930021257505,7.12,0.0,-2.3728956154994894,0.86,3
43,-0.21789511564411254,6.03,1.0,1.8593727175950796,2.12,2.0,-5.089864900458722,1.13,2.0,-10.833281324664325,1.17,4.0,-1.166322985915988,1.07,1
44,-2.6726810810676698,0.4,3.0,-4.682577393853501,1.13,2.0,-1.9467084345428851,5.25,0.0,-2.363833970930688,2.09,0.0,1.5518147659834403,2.12,2
45,-0.21954253844281474,7.11,2.0,-2.1070041988579584,5.25,0.0,-1.1877890905396085,7.02,2.0,-1.134485923598656,7.15,2.0,-4.967710553417534,1.13,2
46,-0.21789511564401245,7.44,0.0,-1.172738553453288,7.02,2.0,-5.16258472689954,0.34,1.0,-3.0230366311340795,0.86,0.0,-1.9510132281705288,5.25,0
47,-0.21789511449790736,7.18,2.0,-4.806685806500028,0.34,1.0,-5.163229218369871,0.65,3.0,-1.1270536100633726,5.07,2.0,-1.1663229621210562,7.02,2
48,-3.6999343401268523,2.36,0.0,-4.782014855868569,0.65,3.0,-1.1888804375915598,7.3,0.0,-1.1262872139887987,7.02,2.0,-5.061136956437152,0.34,1
49,2.6298573290658123,3.48,0.0,-1.1738435194127481,7.3,0.0,-1.1877938951733196,7.21,1.0,-1.1277747266948681,7.36,2.0,-5.05200982395051,0.65,3
50,-0.21777573339317205,3.76,0.0,-1.172741129494137,7.21,1.0,-1.1877890141516996,6.03,1.0,-4.891084662976551,0.76,1.0,-1.1675556672366958,7.3,0
51,-0.21640343028579923,7.12,0.0,-1.172738544112294,6.03,1.0,-5.18387367579939,0.4,3.0,-1.8816834367583266,0.89,4.0,-1.1663277516702828,7.21,1
52,-6.461216347240448,1.17,4.0,-4.812488935063233,0.4,3.0,-2.1936657535987534,7.11,2.0,-1.1263061155352019,5.14,4.0,-1.1663229102130848,6.03,1
53,-2.3271958573035088,2.09,0.0,-2.3256610819771915,7.11,2.0,-1.1877890141515468,7.44,0.0,-10.882405339448193,0.91,1.0,-5.067047693719764,0.4,3
