Class	x	y
2	0.14059	0.0740459
2	0.200761	0.0360992
2	0.12422	0.05693
2	0.16728	0.0870265
2	0.0783166	0.0894055
2	0.0929666	0.0516112
2	0.0726571	0.0780796
2	0.161619	0.0316097
2	0.113537	0.108261
2	0.0804263	0.0664379
2	0.120409	0.0958207
2	0.142025	0.0449931
2	0.119925	0.0285077
2	0.0794377	0.102243
2	0.156399	0.0802653
2	0.0825473	0.0833805
2	0.10104	0.00836074
2	0.103185	0.146151
1	0.734844	0.486071
1	0.759703	0.506183
1	0.720644	0.48969
1	0.723108	0.430686
1	0.763461	0.48487
1	0.792259	0.463324
1	0.743045	0.542326
1	0.735888	0.431021
1	0.76882	0.479157
1	0.73933	0.539855
1	0.724776	0.503739
1	0.700958	0.556135
1	0.718932	0.496295
1	0.711491	0.535727
1	0.712617	0.42545
1	0.749575	0.455877
1	0.687405	0.47835
1	0.783636	0.550901
1	0.760192	0.509188
1	0.821865	0.466806
1	0.87438	0.51045
1	0.792969	0.500747
1	0.777851	0.50277
1	0.770951	0.468759
1	0.761977	0.439876
1	0.724176	0.526627
1	0.76917	0.500302
1	0.794078	0.53837
1	0.740345	0.541171
