"X_ScoreRateH";"X_ScoreRateA";"X_ConcedeRateH";"X_ConcedeRateA";"X_CornerRatioH";"X_CornerRatioA";"X_FoulRatioH";"X_FoulRatioA";"GoalsScored"
1.172413793;3.275862069;1.413793103;0.896551724;0.422839506;0.562289562;0.541231127;0.479761905;NA
0.772727273;1.136363636;1.409090909;1.363636364;0.434108527;0.440366972;0.473021583;0.438333333;NA
1.071428571;0.571428571;1.571428571;1.642857143;0.503225806;0.464788732;0.510204082;0.542079208;NA
1.818181818;0.818181818;0.909090909;1.363636364;0.405529954;0.502463054;0.476256983;0.532385466;NA
0.9;1.3;1.5;1.2;0.472527473;0.52293578;0.455830389;0.451104101;NA
2.848484848;0.852941176;0.96969697;1.588235294;0.581460674;0.402531646;0.468822171;0.50613155;NA
1;1.5;2.5;0.25;0.488888889;0.585365854;0.447154472;0.492424242;NA
0.8;1.2;1;1.4;0.477272727;0.481481481;0.5;0.551020408;NA
1.1;0.8;1.2;1.5;0.372727273;0.46;0.484848485;0.5;NA
1.4;0.8;1.2;1.933333333;0.626506024;0.414473684;0.488095238;0.567741935;NA
3.333333333;1.375;1.125;1.458333333;0.640909091;0.569343066;0.417808219;0.515625;NA
0.875;1.375;1.6875;1.625;0.50617284;0.443243243;0.52038835;0.461089494;NA
1.526315789;1;0.842105263;1.263157895;0.508264463;0.446902655;0.463195691;0.500970874;NA
1.185185185;1.148148148;1.851851852;1.111111111;0.48;0.511450382;0.479217604;0.486624204;NA
1.5;1;2.5;1;0.695652174;0.409090909;0.590163934;0.5;NA
1.08;1.44;1.36;1.52;0.467857143;0.494699647;0.503355705;0.521447721;NA
1.166666667;1.277777778;1.472222222;1.75;0.451612903;0.547677262;0.503883495;0.510426111;NA
0.785714286;1.5;1.214285714;1.5;0.526315789;0.602564103;0.505938242;0.551801802;NA
1.459459459;1.72972973;1.378378378;1.351351351;0.567088608;0.51187905;0.504241282;0.519266055;NA
1.5625;0.8125;1.6875;1.1875;0.5;0.391812865;0.554216867;0.517985612;NA
